Team,Points_Scored,Weightlifting_Sessions_Average,Yoga_Sessions_Average,Laps_Run_Per_Practice_Average,Water_Intake,Players_Absent_For_Sessions
Lakers,242,23,25,30,5,4
Lakers,144,24,26,31,5,8
Lakers,156,24,27,31,5,7
Lakers,159,26,29,34,5,1
Lakers,106,27,,34,5,6
Lakers,97,27,,35,5,1
Lakers,158,27,,35,6,3
Lakers,110,28,,35,5,7
Lakers,154,1111111,,35,6,8
Lakers,147,29,26,36,6,
Lakers,140,28,21,36,6,
Lakers,147,29,20,36,6,
Lakers,104,29,21,36,6,
Lakers,168,30,27,37,6,
Lakers,148,29,22,37,6,
Lakers,149,29,25,37,6,
Lakers,134,30,23,,6,3
Lakers,147,30,25,39,6,8
Lakers,155,,28,39,6,4
Lakers,136,,23,39,6,6
Lakers,166,,24,40,6,8
Lakers,168,,25,39,6,1
Lakers,102,,26,40,6,6
Lakers,124,,25,41,6,6
Lakers,159,32,27,41,6,4
Lakers,152,32,25,41,7,8
Lakers,107,32,24,41,7,5
Lakers,162,33,29,42,7,7
Lakers,145,33,27,42,7,1
Lakers,154,34,28,,8,6
Lakers,109,35,31,44,7,5
Lakers,101,35,29,44,7,1
Lakers,103,36,30,45,8,7
Lakers,119,,34,46,7,1
Lakers,109,38,30,47,7,4
Lakers,40,13,7,16,2,1
Lakers,69,17,12,20,2,5
Lakers,78,18,9,21,2,8
Lakers,87,18,13,22,2,1
Lakers,120,19,14,22,2,4
Lakers,0,19,13,23,3,7
Lakers,110,19,11,23,2,2
Lakers,120,19,10,24,2,1
Lakers,150,20,14,25,2,6
Lakers,145,21,14,24,3,7
Lakers,160,21,13,25,3,7
Lakers,140,21,12,25,3,1
Lakers,160,21,15,25,3,4
Lakers,169,22,15,27,3,4
Lakers,161,22,12,27,3,7
Lakers,200,22,17,27,3,3
Lakers,180,24,19,28,3,8
Lakers,99,24,20,29,4,2
Lakers,105,25,17,,,2
Lakers,93,30,26,,,3
Clippers,89,24,21,,,8
Clippers,98,24,21,,,8
Clippers,167,26,19,31,4,3
Clippers,117,29,21,34,4,5
Clippers,156,34,28,40,5,5
Clippers,122,37,29,44,5,2
Warriors,55,14,8,17,3,3
Warriors,60,14,8,17,3,4
Warriors,90,16,11,20,3,7
Warriors,120,18,13,21,3,3
Warriors,150,18,11,22,4,3
Warriors,140,19,12,23,3,4
Warriors,170,19,13,23,4,3
Warriors,145,20,17,24,4,5
Warriors,200,21,18,26,4,7
Warriors,103,23,19,28,4,8
Warriors,161,24,16,29,5,8
Trailblazers,6,8,3,9,1,5
Trailblazers,32,13,6,15,1,8
Trailblazers,40,14,6,16,2,4
Trailblazers,52,15,6,17,2,1
Trailblazers,70,16,12,19,2,2
Trailblazers,100,16,13,19,2,5
Trailblazers,78,17,13,19,2,1
Trailblazers,80,17,13,20,2,4
Trailblazers,85,18,9,21,2,6
Trailblazers,85,18,9,21,2,6
Trailblazers,110,19,10,23,2,2
Trailblazers,115,19,13,23,2,5
Trailblazers,125,19,11,23,2,4
Trailblazers,130,19,12,23,3,3
Trailblazers,120,20,15,24,2,3
Trailblazers,120,20,14,24,2,4
